Wall time,Step,Value,,
1694341101,0,0.013943034,,0.01011184
1694341223,1,0.010490487,,0.009494211
1694341344,2,0.008782301,,0.009616023
1694341463,3,0.007231538,,0.009617099
1694341585,4,0.011613618,,0.009824239
1694341710,5,0.009691753,,0.010859611
1694341839,6,0.008795536,,0.011307751
1694341966,7,0.007875935,,0.011633491
1694342089,8,0.011933688,,0.012189699
1694342216,9,0.009588411,,0.012988296
1694342337,10,0.008992908,,0.013802073
1694342459,11,0.007949084,,0.01426291
1694342581,12,0.012360086,,0.014570015
1694342701,13,0.009724488,,0.014717122
1694342823,14,0.008660666,,0.015702267
1694342944,15,0.007723157,,0.016664969
1694343064,16,0.012685622,,0.017594127
1694343188,17,0.009991703,,0.017871182
1694343311,18,0.008815421,,0.018293268
1694343433,19,0.007804209,,0.018645205
1694343564,20,0.014052854,,0.01886756
1694343687,21,0.010963288,,0.018620911
1694343810,22,0.009859136,,0.018305002
1694343936,23,0.008563167,,0.018105394
1694344060,24,0.014458528,,0.018370571
1694344183,25,0.011277492,,0.01835339
1694344308,26,0.010461271,,0.017829149
1694344431,27,0.009033713,,0.017591488
1694344557,28,0.014665766,,0.018076405
1694344681,29,0.01180289,,0.017406263
1694344805,30,0.010810875,,0.01688726
1694344930,31,0.009254433,,0.016479344
1694345056,32,0.015488924,,0.017097019
1694345183,33,0.012616472,,0.01732036
1694345306,34,0.010950803,,0.017743742
1694345428,35,0.009702597,,0.01809271
1694345553,36,0.01638595,,0.01779793
1694345679,37,0.013235563,,0.017138304
1694345804,38,0.012010916,,0.017031191
1694345929,39,0.010320756,,0.016344297
1694346055,40,0.017682031,,0.015651535
1694346178,41,0.01393339,,0.01502464
1694346302,42,0.012468449,,0.014635166
1694346425,43,0.011124424,,0.014021376
1694346549,44,0.018213723,,0.013516383
1694346671,45,0.014570596,,0.012628822
1694346795,46,0.013012332,,0.01187996
1694346916,47,0.01125499,,0.011341093
1694347040,48,0.018426795,,0.010498826
1694347164,49,0.015055468,,0.009902996
1694347288,50,0.013510721,,0.009130801
1694347411,51,0.011287078,,0.008368209
1694347534,52,0.018692337,,0.007628297
1694347658,53,0.015181756,,0.007038029
1694347785,54,0.01353026,,0.005489932
1694347908,55,0.011464136,,0.003868615
1694348034,56,0.019438187,,
1694348160,57,0.016384231,,
1694348288,58,0.014504556,,
1694348416,59,0.012482095,,
1694348543,60,0.02054657,,
1694348671,61,0.017221048,,
1694348795,62,0.015327317,,
1694348922,63,0.01356494,,
1694349051,64,0.021320427,,
1694349177,65,0.018311894,,
1694349315,66,0.0162235,,
1694349452,67,0.014520686,,
1694349588,68,0.02199789,,
1694349723,69,0.018557573,,
1694349858,70,0.016580911,,
1694349998,71,0.014348353,,
1694350132,72,0.022942847,,
1694350265,73,0.019039694,,
1694350397,74,0.016577119,,
1694350533,75,0.01461341,,
1694350668,76,0.02393543,,
1694350800,77,0.019535273,,
1694350936,78,0.016967131,,
1694351072,79,0.014142985,,
1694351206,80,0.024428949,,
1694351342,81,0.019536639,,
1694351477,82,0.017189816,,
1694351615,83,0.014314836,,
1694351749,84,0.024043094,,
1694351887,85,0.019323356,,
1694352027,86,0.016830923,,
1694352170,87,0.014286271,,
1694352311,88,0.023694485,,
1694352449,89,0.018931944,,
1694352587,90,0.016505962,,
1694352720,91,0.014087616,,
1694352859,92,0.024046272,,
1694352995,93,0.018941961,,
1694353138,94,0.016072044,,
1694353275,95,0.013361299,,
1694353416,96,0.024406096,,
1694353553,97,0.019525066,,
1694353694,98,0.016185038,,
1694353830,99,0.013366083,,
1694353970,100,0.024369834,,
1694354108,101,0.019358316,,
1694354254,102,0.016660739,,
1694354389,103,0.01302467,,
1694354528,104,0.023843681,,
1694354665,105,0.018879926,,
1694354802,106,0.015939388,,
1694354939,107,0.012653599,,
1694355080,108,0.023300692,,
1694355218,109,0.01844386,,
1694355364,110,0.015744835,,
1694355501,111,0.012876564,,
1694355640,112,0.024375698,,
1694355773,113,0.018853979,,
1694355910,114,0.015892917,,
1694356043,115,0.013183026,,
1694356181,116,0.02336883,,
1694356318,117,0.018274687,,
1694356457,118,0.01538768,,
1694356591,119,0.012593856,,
1694356728,120,0.023060916,,
1694356863,121,0.017462477,,
1694356998,122,0.014915944,,
1694357136,123,0.012109703,,
1694357275,124,0.022407619,,
1694357409,125,0.017114228,,
1694357549,126,0.014349852,,
1694357683,127,0.012045677,,
1694357820,128,0.022999439,,
1694357959,129,0.01793278,,
1694358098,130,0.014960194,,
1694358234,131,0.012495661,,
1694358373,132,0.022941643,,
1694358509,133,0.018319134,,
1694358647,134,0.01515228,,
1694358785,135,0.012868381,,
1694358924,136,0.02363134,,
1694359063,137,0.018568007,,
1694359203,138,0.01575763,,
1694359340,139,0.013017992,,
1694359478,140,0.024205914,,
1694359616,141,0.019347578,,
1694359755,142,0.015901646,,
1694359891,143,0.012915703,,
1694360028,144,0.023979858,,
1694360167,145,0.019084562,,
1694360304,146,0.015717063,,
1694360441,147,0.012410238,,
1694360579,148,0.022756826,,
1694360715,149,0.017904267,,
1694360845,150,0.01522646,,
1694360978,151,0.012665664,,
1694361110,152,0.022146685,,
1694361241,153,0.017765788,,
1694361374,154,0.015491236,,
1694361505,155,0.012721054,,
1694361636,156,0.020971406,,
1694361767,157,0.016940948,,
1694361899,158,0.014865793,,
1694362030,159,0.012599043,,
1694362163,160,0.020015378,,
1694362293,161,0.016115945,,
1694362420,162,0.014411879,,
1694362550,163,0.012062937,,
1694362680,164,0.01927291,,
1694362810,165,0.015527869,,
1694362939,166,0.013710233,,
1694363068,167,0.011587549,,
1694363202,168,0.018481066,,
1694363335,169,0.01547052,,
1694363467,170,0.013489028,,
1694363598,171,0.01110005,,
1694363728,172,0.017767731,,
1694363859,173,0.014883927,,
1694363990,174,0.012800552,,
1694364121,175,0.010633294,,
1694364254,176,0.016854588,,
1694364383,177,0.013931778,,
1694364511,178,0.012686003,,
1694364640,179,0.010593162,,
1694364768,180,0.015478947,,
1694364897,181,0.012812813,,
1694365029,182,0.011914896,,
1694365158,183,0.010308632,,
1694365286,184,0.014410876,,
1694365415,185,0.012374742,,
1694365547,186,0.011208946,,
1694365676,187,0.009525277,,
1694365808,188,0.013572689,,
1694365942,189,0.011509704,,
1694366074,190,0.010930478,,
1694366206,191,0.009351502,,
1694366337,192,0.012670957,,
1694366469,193,0.010633177,,
1694366602,194,0.010150208,,
1694366737,195,0.00854096,,
1694366867,196,0.011697126,,
1694366998,197,0.010134294,,
1694367128,198,0.009612367,,
1694367258,199,0.008168198,,
1694367387,200,0.010511644,,
1694367515,201,0.009434829,,
1694367644,202,0.008803295,,
1694367773,203,0.007773438,,
1694367903,204,0.009218444,,
1694368031,205,0.008529356,,
1694368166,206,0.008250843,,
1694368301,207,0.007474192,,
1694368434,208,0.008397245,,
1694368568,209,0.007894785,,
1694368703,210,0.007497553,,
1694368837,211,0.006723604,,
1694368973,212,0.007390794,,
1694369103,213,0.007281265,,
1694369234,214,0.007251579,,
1694369364,215,0.006228476,,
1694369495,216,0.005661767,,
1694369625,217,0.00538629,,
1694369755,218,0.005572063,,
1694369886,219,0.005339608,,
1694370014,220,0.003558422,,
1694370143,221,0.003737923,,
1694370273,222,0.004264548,,
1694370402,223,0.003913568,,
