Wall time,Step,Value,,
1694341101,0,0.004980253,,0.002354932
1694341223,1,0.002411496,,0.001184437
1694341344,2,0.001319416,,0.001377094
1694341463,3,0.000708563,,0.001293217
1694341585,4,0.002158115,,0.001312235
1694341710,5,0.001333256,,0.00160967
1694341839,6,0.000759403,,0.001895776
1694341966,7,0.000486974,,0.001908194
1694342089,8,0.002575199,,0.002034399
1694342216,9,0.001534429,,0.002163193
1694342337,10,0.000879639,,0.002686063
1694342459,11,0.000519108,,0.002834308
1694342581,12,0.002640816,,0.002476929
1694342701,13,0.001247991,,0.002564326
1694342823,14,0.0007475,,0.003344735
1694342944,15,0.00053656,,0.003552214
1694343064,16,0.002595463,,0.004271918
1694343188,17,0.00129189,,0.003997877
1694343311,18,0.000792263,,0.003965408
1694343433,19,0.000569323,,0.003933265
1694343564,20,0.003013394,,0.003884292
1694343687,21,0.001472191,,0.003545428
1694343810,22,0.001096882,,0.003202885
1694343936,23,0.000856215,,0.002979806
1694344060,24,0.00338085,,0.00305982
1694344183,25,0.001763491,,0.003021343
1694344308,26,0.001332166,,0.002834473
1694344431,27,0.001106597,,0.002693531
1694344557,28,0.003338959,,0.002924303
1694344681,29,0.002006775,,0.002737016
1694344805,30,0.001227828,,0.002428882
1694344930,31,0.001059213,,0.002119454
1694345056,32,0.003612245,,0.00221589
1694345183,33,0.002192219,,0.002179928
1694345306,34,0.001334476,,0.002267132
1694345428,35,0.000998657,,0.002308112
1694345553,36,0.003659335,,0.002219667
1694345679,37,0.00228683,,0.001968964
1694345804,38,0.001616958,,0.001972817
1694345929,39,0.00108965,,0.001821092
1694346055,40,0.005020963,,0.001744423
1694346178,41,0.002625619,,0.001682681
1694346302,42,0.001935852,,0.001619207
1694346425,43,0.00116182,,0.001501598
1694346549,44,0.005064898,,0.001467819
1694346671,45,0.00290072,,0.001326127
1694346795,46,0.001996934,,0.001254093
1694346916,47,0.00137468,,0.001190948
1694347040,48,0.004193246,,0.001091364
1694347164,49,0.002624529,,0.001087706
1694347288,50,0.001810057,,0.001020455
1694347411,51,0.001279883,,0.001029472
1694347534,52,0.004225713,,0.000926411
1694347658,53,0.002644584,,0.001012067
1694347785,54,0.001809372,,0.000633947
1694347908,55,0.001577635,,0.000221849
1694348034,56,0.004553883,,
1694348160,57,0.003632607,,
1694348288,58,0.002849022,,
1694348416,59,0.002343428,,
1694348543,60,0.004944004,,
1694348671,61,0.003798185,,
1694348795,62,0.002828595,,
1694348922,63,0.002638074,,
1694349051,64,0.005824928,,
1694349177,65,0.00492917,,
1694349315,66,0.00291643,,
1694349452,67,0.003417144,,
1694349588,68,0.005281667,,
1694349723,69,0.004111721,,
1694349858,70,0.00353214,,
1694349998,71,0.003065981,,
1694350132,72,0.004842665,,
1694350265,73,0.003950797,,
1694350397,74,0.003767077,,
1694350533,75,0.003301091,,
1694350668,76,0.005277184,,
1694350800,77,0.00420472,,
1694350936,78,0.003603715,,
1694351072,79,0.002647441,,
1694351206,80,0.00533745,,
1694351342,81,0.003965137,,
1694351477,82,0.003422947,,
1694351615,83,0.002811636,,
1694351749,84,0.005097578,,
1694351887,85,0.003492595,,
1694352027,86,0.002815923,,
1694352170,87,0.002775614,,
1694352311,88,0.005007802,,
1694352449,89,0.003151557,,
1694352587,90,0.002373924,,
1694352720,91,0.002278259,,
1694352859,92,0.005011827,,
1694352995,93,0.003030082,,
1694353138,94,0.002135377,,
1694353275,95,0.001741936,,
1694353416,96,0.00514488,,
1694353553,97,0.003165385,,
1694353694,98,0.002265501,,
1694353830,99,0.001663513,,
1694353970,100,0.004895684,,
1694354108,101,0.003212879,,
1694354254,102,0.002435999,,
1694354389,103,0.001540811,,
1694354528,104,0.0046701,,
1694354665,105,0.003126041,,
1694354802,106,0.002182475,,
1694354939,107,0.001359277,,
1694355080,108,0.004317581,,
1694355218,109,0.003032983,,
1694355364,110,0.00209306,,
1694355501,111,0.0013305,,
1694355640,112,0.004915271,,
1694355773,113,0.003104631,,
1694355910,114,0.002100428,,
1694356043,115,0.001576882,,
1694356181,116,0.004365024,,
1694356318,117,0.002886568,,
1694356457,118,0.002048416,,
1694356591,119,0.001648055,,
1694356728,120,0.004200279,,
1694356863,121,0.002441618,,
1694356998,122,0.001767654,,
1694357136,123,0.001305976,,
1694357275,124,0.003675939,,
1694357409,125,0.002111915,,
1694357549,126,0.001398957,,
1694357683,127,0.001291004,,
1694357820,128,0.003852898,,
1694357959,129,0.002164307,,
1694358098,130,0.001491531,,
1694358234,131,0.001354824,,
1694358373,132,0.00375943,,
1694358509,133,0.002201812,,
1694358647,134,0.001463632,,
1694358785,135,0.001294841,,
1694358924,136,0.003965299,,
1694359063,137,0.002253193,,
