Wall time,Step,Value,,
1694341101,0,0.872220695,,0.775954813
1694341223,1,0.824029684,,0.765436187
1694341344,2,0.723008931,,0.761567503
1694341463,3,0.684559941,,0.763984352
1694341585,4,0.863256872,,0.774190918
1694341710,5,0.806260765,,0.767884135
1694341839,6,0.72293812,,0.778776839
1694341966,7,0.669288993,,0.774993151
1694342089,8,0.857642829,,0.784474999
1694342216,9,0.812657058,,0.790707901
1694342337,10,0.71458745,,0.797750652
1694342459,11,0.661382675,,0.806502178
1694342581,12,0.852342725,,0.807940066
1694342701,13,0.813541114,,0.803654313
1694342823,14,0.72179234,,0.827590048
1694342944,15,0.66826123,,0.825429931
1694343064,16,0.854282677,,0.817481548
1694343188,17,0.814983308,,0.822607413
1694343311,18,0.74484539,,0.810909331
1694343433,19,0.682652295,,0.803188622
1694343564,20,0.853957117,,0.799452603
1694343687,21,0.807457447,,0.789413288
1694343810,22,0.735117078,,0.790012494
1694343936,23,0.6750049,,0.791291848
1694344060,24,0.871351004,,0.790426716
1694344183,25,0.824789107,,0.79103066
1694344308,26,0.73895824,,0.801244721
1694344431,27,0.680009007,,0.793350354
1694344557,28,0.865930974,,0.782464191
1694344681,29,0.813964367,,0.781904891
1694344805,30,0.738363922,,0.777898863
1694344930,31,0.681713343,,0.771830767
1694345056,32,0.868604124,,0.769123778
1694345183,33,0.822954714,,0.768922031
1694345306,34,0.764616787,,0.774405271
1694345428,35,0.68172437,,0.772174031
1694345553,36,0.869070709,,0.773776218
1694345679,37,0.83502686,,0.766267091
1694345804,38,0.763799369,,0.762944669
1694345929,39,0.694934666,,0.764326945
1694346055,40,0.871233761,,0.772999585
1694346178,41,0.836191773,,0.762638301
1694346302,42,0.773764849,,0.76212272
1694346425,43,0.709812224,,0.761192903
1694346549,44,0.879852891,,0.758307427
1694346671,45,0.842511833,,0.755531684
1694346795,46,0.775027096,,0.755724683
1694346916,47,0.728616893,,0.745627433
1694347040,48,0.873504937,,0.742004365
1694347164,49,0.837663412,,0.737871915
1694347288,50,0.782040536,,0.739659324
1694347411,51,0.738551378,,0.734334826
1694347534,52,0.862417996,,0.723507032
1694347658,53,0.838853657,,0.709442645
1694347785,54,0.782442749,,0.710414767
1694347908,55,0.730902851,,0.658226043
1694348034,56,0.879237354,,
1694348160,57,0.854184628,,
1694348288,58,0.805155277,,
