Wall time,Step,Value,,
1693752021,0,0.006441362,,0.003049814
1693752126,1,0.0028964,,0.001382946
1693752232,2,0.001792588,,0.001506691
1693752344,3,0.001068904,,0.001680076
1693752451,4,0.002710603,,0.001624259
1693752556,5,0.001425668,,0.001921323
1693752662,6,0.000855812,,0.002141385
1693752768,7,0.000539699,,0.002174417
1693752875,8,0.003091187,,0.002412814
1693752981,9,0.001376021,,0.002570678
1693753087,10,0.000952739,,0.002854892
1693753193,11,0.000606818,,0.003102706
1693753301,12,0.003580183,,0.00314441
1693753407,13,0.001343541,,0.003040337
1693753517,14,0.001072572,,0.003312821
1693753623,15,0.000724008,,0.003799592
1693753731,16,0.003412204,,0.004521735
1693753837,17,0.001422562,,0.004450922
1693753945,18,0.000954238,,0.004500827
1693754052,19,0.000708032,,0.005155073
1693754162,20,0.004051235,,0.005139449
1693754270,21,0.001579144,,0.004890714
1693754381,22,0.001134232,,0.00376519
1693754487,23,0.00092068,,0.003296105
1693754595,24,0.004202422,,0.003366858
1693754701,25,0.001751908,,0.003400822
1693754811,26,0.001389217,,0.003121404
1693754918,27,0.001221993,,0.003069805
1693755025,28,0.004019825,,0.003292982
1693755133,29,0.002216586,,0.002960232
1693755243,30,0.001441874,,0.002847213
1693755348,31,0.001019382,,0.002519489
1693755457,32,0.004674876,,0.002579433
1693755563,33,0.002469726,,0.00258974
1693755671,34,0.001497893,,0.002568114
1693755777,35,0.001008761,,0.002524185
1693755883,36,0.004571297,,0.002501775
1693755991,37,0.002669641,,0.002197457
1693756099,38,0.001910163,,0.002173681
1693756207,39,0.00113161,,0.002145206
1693756315,40,0.005373112,,0.00215123
1693756423,41,0.002926845,,0.002070265
1693756532,42,0.001969102,,0.001998853
1693756639,43,0.001150508,,0.001812653
1693756749,44,0.006012788,,0.00183775
1693756856,45,0.003236358,,0.001623455
1693756967,46,0.00194478,,0.001534615
1693757074,47,0.001216897,,0.001457874
1693757182,48,0.005989789,,0.001396062
1693757292,49,0.003328494,,0.001418877
1693757403,50,0.001921531,,0.001333077
1693757513,51,0.001337824,,0.001348135
1693757627,52,0.005428806,,0.001158269
1693757737,53,0.00307505,,0.001257491
1693757847,54,0.0017764,,0.00073103
1693757958,55,0.00188109,,0.000215807
1693758072,56,0.004999134,,
1693758185,57,0.003272182,,
1693758298,58,0.002245127,,
1693758409,59,0.002734841,,
1693758520,60,0.005649105,,
1693758629,61,0.004017779,,
1693758742,62,0.002781751,,
1693758853,63,0.002749733,,
1693758965,64,0.006154765,,
1693759076,65,0.005368784,,
1693759189,66,0.00311818,,
1693759302,67,0.003445209,,
1693759414,68,0.005477978,,
1693759525,69,0.004704972,,
1693759636,70,0.003730374,,
1693759747,71,0.003890363,,
1693759859,72,0.00515551,,
1693759973,73,0.004729112,,
1693760085,74,0.004061039,,
1693760192,75,0.004057647,,
1693760303,76,0.006029179,,
1693760411,77,0.005707896,,
1693760519,78,0.004964408,,
1693760627,79,0.003918809,,
1693760740,80,0.006158717,,
1693760847,81,0.005553348,,
1693760957,82,0.004877969,,
1693761065,83,0.003967763,,
1693761176,84,0.005875103,,
1693761287,85,0.005259413,,
1693761399,86,0.004711441,,
1693761510,87,0.0037169,,
1693761621,88,0.005647011,,
1693761732,89,0.004158105,,
1693761842,90,0.002918728,,
1693761950,91,0.002336917,,
1693762062,92,0.005399399,,
1693762174,93,0.003750659,,
