Wall time,Step,Value,,
1693928106,0,0.87018919,,0.772468954
1693928187,1,0.837319493,,0.760737881
1693928268,2,0.739260733,,0.758837253
1693928371,3,0.643106401,,0.7596315
1693928454,4,0.863021255,,0.769960389
1693928534,5,0.802738845,,0.768126518
1693928615,6,0.721181393,,0.78937842
1693928696,7,0.656010032,,0.779929057
1693928777,8,0.858813584,,0.77844803
1693928858,9,0.798675299,,0.794550046
1693928938,10,0.728265107,,0.802806258
1693929019,11,0.649595022,,0.808628768
1693929100,12,0.849911213,,0.810230076
1693929181,13,0.800708532,,0.811142996
1693929262,14,0.729958236,,0.826810688
1693929343,15,0.657948017,,0.825540945
1693929424,16,0.855947614,,0.824372768
1693929505,17,0.815722048,,0.821180269
1693929587,18,0.741748989,,0.812705874
1693929668,19,0.666422904,,0.804643497
1693929748,20,0.858140171,,0.798099279
1693929829,21,0.803477049,,0.796534151
1693929910,22,0.739364684,,0.790260434
1693929991,23,0.671524167,,0.790387228
1693930071,24,0.870738864,,0.791222945
1693930152,25,0.829103231,,0.788932189
1693930233,26,0.767365873,,0.799362138
1693930338,27,0.69030571,,0.794150993
1693930419,28,0.863750637,,0.784742564
1693930500,29,0.809558034,,0.782842755
1693930581,30,0.753696203,,0.778020963
1693930663,31,0.692711353,,0.770315036
1693930769,32,0.862211764,,0.76554437
1693930850,33,0.820302725,,0.77352564
1693930947,34,0.736929715,,0.771403447
1693931057,35,0.694347918,,0.770628095
1693931138,36,0.871679425,,0.768102273
1693931245,37,0.831527591,,0.767789125
1693931351,38,0.765518427,,0.762574434
1693931432,39,0.709474742,,0.764425501
1693931514,40,0.874454021,,0.770066082
1693931595,41,0.832933009,,0.760004207
1693931676,42,0.784217656,,0.76170066
1693931757,43,0.719620347,,0.759372398
1693931838,44,0.878732026,,0.765995517
1693931920,45,0.84595865,,0.76179114
1693932002,46,0.779147387,,0.755961016
1693932083,47,0.730677009,,0.742265016
1693932164,48,0.867046833,,0.746066466
1693932245,49,0.85098666,,0.737097755
1693932326,50,0.787690818,,0.73357223
1693932408,51,0.735195994,,0.729150102
1693932489,52,0.865735471,,0.719995961
1693932570,53,0.844669163,,0.709499553
1693932651,54,0.786213517,,0.702558517
1693932733,55,0.747953832,,0.655747205
1693932815,56,0.879621387,,
1693932895,57,0.850194335,,
1693932977,58,0.814319372,,
1693933061,59,0.763107657,,
1693933170,60,0.875169933,,
1693933251,61,0.85249573,,
1693933333,62,0.799679697,,
1693933414,63,0.77481842,,
1693933532,64,0.872374892,,
1693933682,65,0.857205749,,
1693933816,66,0.809753418,,
1693933947,67,0.758157015,,
1693934093,68,0.869477034,,
1693934255,69,0.852830112,,
1693934413,70,0.801365793,,
1693934550,71,0.761048138,,
1693934712,72,0.861246705,,
1693934889,73,0.848071516,,
1693935087,74,0.797683418,,
